Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15955276,51,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH210T-DR000200,ALMATEX KH210(T),,RB11,CJ8002,0,KG,,Posted in FI,L,10.09.2018,M
RB15955275,10,,RB_TW070,ZF2,"57,600.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CH8007,600,KG,,Posted in FI,L,10.09.2018,M
RB15955275,20,,RB_TW070,ZF2,"249,600.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CG8002,"2,600.00",KG,,Posted in FI,L,10.09.2018,M
RB15955275,30,,RB_TW070,ZF2,"26,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CH8006,200,KG,,Posted in FI,L,10.09.2018,M
RB15955111,10,,RB_TW070,ZF2,"192,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CG8002,"2,000.00",KG,,Posted in FI,L,05.09.2018,M
RB15955111,20,,RB_TW070,ZF2,"170,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH210T-DR000200,ALMATEX KH210(T),,RB11,CC8001,"1,000.00",KG,,Posted in FI,L,05.09.2018,M
RB15955111,30,,RB_TW070,ZF2,"182,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CE8002,"1,200.00",KG,,Posted in FI,L,05.09.2018,M
RB15955111,41,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CE8003,0,KG,,Posted in FI,L,05.09.2018,M
RB15955111,42,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CH8004,0,KG,,Posted in FI,L,05.09.2018,M
RB15954964,10,,RB_TW070,Z1,"80,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,CH8037,"1,000.00",KG,,Posted in FI,L,03.09.2018,M
RB15954964,20,,RB_TW070,Z1,"308,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CH8035,"4,000.00",KG,,Posted in FI,L,03.09.2018,M
RB15954964,30,,RB_TW070,Z1,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CH8015,"4,000.00",KG,,Posted in FI,L,03.09.2018,M
RB15954964,40,,RB_TW070,Z1,"210,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CE8003,"2,000.00",KG,,Posted in FI,L,03.09.2018,M
