Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15961005,20,,RB_TW070,ZF2,"192,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CC9003,"2,000.00",KG,,Posted in FI,L,05.03.2019,M
RB15961007,50,,RB_TW070,ZF2,"132,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CA9001,"1,000.00",KG,,Posted in FI,L,05.03.2019,M
RB15961007,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CB9001,0,KG,,Posted in FI,L,05.03.2019,M
RB15961007,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CB9002,0,KG,,Posted in FI,L,05.03.2019,M
RB15961007,10,,RB_TW070,ZF2,"81,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,,"1,000.00",KG,,Posted in FI,L,05.03.2019,M
RB15961007,40,,RB_TW070,ZF2,"75,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CB9003,"1,000.00",KG,,Posted in FI,L,05.03.2019,M
RB15961163,50,,RB_TW070,ZF2,"264,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CA9001,"2,000.00",KG,,Posted in FI,L,08.03.2019,M
RB15961163,10,,RB_TW070,ZF2,"84,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CB9002,"1,000.00",KG,,Posted in FI,L,08.03.2019,M
RB15961163,20,,RB_TW070,ZF2,"80,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CC9009,"1,000.00",KG,,Posted in FI,L,08.03.2019,M
RB15961163,40,,RB_TW070,ZF2,"96,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CC9003,"1,000.00",KG,,Posted in FI,L,08.03.2019,M
