Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Acid Value,0.1,0.0,0.9,JIS K5407
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Appearance,A012,,,Visual Check
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Color,10,0,29,JIS K6901
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Crater and Dimple,0,0,0,Dilution Spot Method
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Heptane,3.0,1.0,4.0,25oC
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Non Volatile Content,71.5,68.0,72.0,JIS K5407
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Viscosity,A096,,,JIS K5400
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Water Content,0.14,0.00,0.60,Karl Fischer
ENRMB20T0-DR000200,U-VAN MB20T,RB11,A,CL8011,13-11-18,12-05-19,15-11-18,40000054748,Water/IPA,5.8,4.0,8.0,25oC
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Acid Value,0.1,0.0,1.0,JIS K5407
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Appearance,A012,,,Visual Check
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Color,10,0,30,JIS K6901
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Crater and Dimple,0,0,0,Dilution Spot Method
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Non Volatile Content,70.7,68.0,72.0,JIS K5407
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Viscosity,A081,,,JIS K5400
ENRMB30T0-DR000200,U-VAN MB30T,RB11,A,CL8006,16-11-18,15-05-19,17-11-18,40000054820,Water/IPA,11.7,10.0,15.0,25oC
