Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Non Volatile Content,63.8,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK8008,07-10-18,07-10-19,08-10-18,40000053507,Viscosity,A084,,,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CK8008,03-10-18,03-10-19,04-10-18,40000053376,Acid Value,5.7,5.0,7.0,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CK8008,03-10-18,03-10-19,04-10-18,40000053376,Appearance,A012,,,Visual Check
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CK8008,03-10-18,03-10-19,04-10-18,40000053376,Color,1,-999,3,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CK8008,03-10-18,03-10-19,04-10-18,40000053376,Non Volatile Content,61.0,58.5,61.5,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CK8008,03-10-18,03-10-19,04-10-18,40000053376,Viscosity,A109,,,JIS K5400
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CK8005,15-10-18,15-10-19,16-10-18,40000053780,Acid Value,5.9,5.3,7.3,JIS K5407
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CK8005,15-10-18,15-10-19,16-10-18,40000053780,Appearance,A012,,,Visual Check
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CK8005,15-10-18,15-10-19,16-10-18,40000053780,Color,1,-999,3,JIS K5400
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CK8005,15-10-18,15-10-19,16-10-18,40000053780,Non Volatile Content,65.4,63.5,66.5,JIS K5407
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CK8005,15-10-18,15-10-19,16-10-18,40000053780,Viscosity,A090,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8023,20-10-18,20-10-19,21-10-18,40000054015,Acid Value,5.6,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8023,20-10-18,20-10-19,21-10-18,40000054015,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8023,20-10-18,20-10-19,21-10-18,40000054015,Color,14,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8023,20-10-18,20-10-19,21-10-18,40000054015,Non Volatile Content,61.0,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8023,20-10-18,20-10-19,21-10-18,40000054015,Viscosity,A112,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8024,21-10-18,21-10-19,22-10-18,40000054019,Acid Value,5.6,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8024,21-10-18,21-10-19,22-10-18,40000054019,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8024,21-10-18,21-10-19,22-10-18,40000054019,Color,9,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8024,21-10-18,21-10-19,22-10-18,40000054019,Non Volatile Content,61.5,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8024,21-10-18,21-10-19,22-10-18,40000054019,Viscosity,A112,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8025,22-10-18,22-10-19,23-10-18,40000054060,Acid Value,5.6,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8025,22-10-18,22-10-19,23-10-18,40000054060,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8025,22-10-18,22-10-19,23-10-18,40000054060,Color,9,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8025,22-10-18,22-10-19,23-10-18,40000054060,Non Volatile Content,60.4,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CK8025,22-10-18,22-10-19,23-10-18,40000054060,Viscosity,A112,,,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8031,04-10-18,04-10-19,04-10-18,40000053372,Acid Value,6.8,6.0,9.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8031,04-10-18,04-10-19,04-10-18,40000053372,Appearance,A012,,,Visual Check
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8031,04-10-18,04-10-19,04-10-18,40000053372,Color,1,-999,3,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8031,04-10-18,04-10-19,04-10-18,40000053372,Non Volatile Content,70.6,68.0,72.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8031,04-10-18,04-10-19,04-10-18,40000053372,Viscosity,A133,,,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8032,24-10-18,24-10-19,25-10-18,40000054103,Acid Value,6.7,6.0,9.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8032,24-10-18,24-10-19,25-10-18,40000054103,Appearance,A012,,,Visual Check
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8032,24-10-18,24-10-19,25-10-18,40000054103,Color,1,-999,3,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8032,24-10-18,24-10-19,25-10-18,40000054103,Non Volatile Content,70.9,68.0,72.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CK8032,24-10-18,24-10-19,25-10-18,40000054103,Viscosity,A133,,,JIS K5400
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Acid Value,0.3,0.0,0.9,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Appearance,A012,,,Visual Check
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Color,10,10,29,JIS K6901
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Crater,0,0,3,TMSC(A4 x 2Panel)
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,MS,19.8,12.0,20.0,20oC
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Non Volatile Content,65.8,63.0,67.0,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CK8007,15-10-18,13-04-19,16-10-18,40000053782,Viscosity,A076,,,JIS K5400
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Acid Value,0.8,0.0,0.9,JIS K5407
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Appearance,A012,,,Visual Check
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Color,10,10,29,JIS K6901
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Crater,0,0,3,TMSC(A4 x 2Panel)
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,MS,7.6,2.0,8.0,20oC
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Non Volatile Content,59.7,58.0,62.0,JIS K5407
ENR225000-DR000200,U-VAN 225,RB11,A,CK8007,02-10-18,31-12-18,04-10-18,40000053358,Viscosity,A042,,,JIS K5400
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Acid Value,0.9,0.0,0.9,JIS K5407
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Appearance,A012,,,Visual Check
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Color,10,10,29,JIS K6901
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Crater,2,0,3,TMSC(A4 x 2Panel)
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,MS,7.3,2.0,8.0,20oC
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Non Volatile Content,60.5,58.0,62.0,JIS K5407
ENR225000-DR000200,U-VAN 225,RB11,A,CK8008,16-10-18,14-01-19,17-10-18,40000053822,Viscosity,A045,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Acid Value,0.5,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Appearance,A012,,,Visual Check
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Color,10,10,29,JIS K6901
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Crater,1,0,4,TMSC(A4 x 2Panel)
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,MS,9.7,7.0,15.0,20oC
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Non Volatile Content,60.5,58.0,62.0,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8045,10-10-18,08-04-19,11-10-18,40000053608,Viscosity,A040,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Acid Value,0.4,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Appearance,A012,,,Visual Check
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Color,10,10,29,JIS K6901
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Crater,2,0,4,TMSC(A4 x 2Panel)
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,MS,12.6,7.0,15.0,20oC
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Non Volatile Content,60.4,58.0,62.0,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8046,12-10-18,10-04-19,13-10-18,40000053720,Viscosity,A039,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Acid Value,0.4,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Appearance,A012,,,Visual Check
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Color,10,10,29,JIS K6901
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Crater,2,0,4,TMSC(A4 x 2Panel)
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,MS,10.7,7.0,15.0,20oC
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Non Volatile Content,59.1,58.0,62.0,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8047,15-10-18,13-04-19,16-10-18,40000053796,Viscosity,A025,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8048,19-10-18,17-04-19,20-10-18,40000053960,Acid Value,0.4,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CK8048,19-10-18,17-04-19,20-10-18,40000053960,Appearance,A012,,,Visual Check
