Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Acid Value,14.8,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Non Volatile Content,53.6,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Viscosity,A083,,,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Acid Value,14.5,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Non Volatile Content,53.9,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Viscosity,A089,,,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CL8003,05-11-18,05-11-19,08-11-18,40000054474,Acid Value,14.9,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CL8003,05-11-18,05-11-19,08-11-18,40000054474,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CL8003,05-11-18,05-11-19,08-11-18,40000054474,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CL8003,05-11-18,05-11-19,08-11-18,40000054474,Non Volatile Content,54.3,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CL8003,05-11-18,05-11-19,08-11-18,40000054474,Viscosity,A093,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CB8001,10-02-18,10-02-19,12-02-18,40000044299,Acid Value,7.7,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CB8001,10-02-18,10-02-19,12-02-18,40000044299,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CB8001,10-02-18,10-02-19,12-02-18,40000044299,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CB8001,10-02-18,10-02-19,12-02-18,40000044299,Non Volatile Content,55.7,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CB8001,10-02-18,10-02-19,12-02-18,40000044299,Viscosity,A105,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Acid Value,7.8,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Non Volatile Content,55.2,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Viscosity,A103,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Acid Value,8.0,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Non Volatile Content,55.8,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Viscosity,A107,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ8004,23-09-18,23-09-19,24-09-18,40000053074,Acid Value,7.4,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ8004,23-09-18,23-09-19,24-09-18,40000053074,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ8004,23-09-18,23-09-19,24-09-18,40000053074,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ8004,23-09-18,23-09-19,24-09-18,40000053074,Non Volatile Content,55.3,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ8004,23-09-18,23-09-19,24-09-18,40000053074,Viscosity,A110,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CM8005,11-12-18,11-12-19,14-12-18,40000055744,Acid Value,7.5,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CM8005,11-12-18,11-12-19,14-12-18,40000055744,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CM8005,11-12-18,11-12-19,14-12-18,40000055744,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CM8005,11-12-18,11-12-19,14-12-18,40000055744,Non Volatile Content,55.2,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CM8005,11-12-18,11-12-19,14-12-18,40000055744,Viscosity,A103,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA8001,25-01-18,25-01-19,26-01-18,40000043774,Acid Value,9.1,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA8001,25-01-18,25-01-19,26-01-18,40000043774,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA8001,25-01-18,25-01-19,26-01-18,40000043774,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA8001,25-01-18,25-01-19,26-01-18,40000043774,Non Volatile Content,65.4,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA8001,25-01-18,25-01-19,26-01-18,40000043774,Viscosity,A083,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Non Volatile Content,65.2,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC8002,10-03-18,10-03-19,11-03-18,40000045467,Viscosity,A089,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Acid Value,8.8,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Non Volatile Content,64.9,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Non Volatile Content,64.6,63.0,67.0,JIS K5407
