Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
30001-XY,Xylene,RB11,A,TANK110117,11-01-17,10-07-17,11-01-17,10000018707,Color,3.8,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK110117,11-01-17,10-07-17,11-01-17,10000018707,Refractive index,1.4936,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK110117,11-01-17,10-07-17,11-01-17,10000018707,Specific Gravity,0.86580,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK110117,11-01-17,10-07-17,11-01-17,10000018707,Water content,0.0380,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK130117,13-01-17,12-07-17,16-01-17,10000018624,Color,2.9,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK130117,13-01-17,12-07-17,16-01-17,10000018624,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK130117,13-01-17,12-07-17,16-01-17,10000018624,Specific Gravity,0.86579,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK130117,13-01-17,12-07-17,16-01-17,10000018624,Water content,0.0190,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK170117,17-01-17,16-07-17,18-01-17,10000018800,Color,2.4,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK170117,17-01-17,16-07-17,18-01-17,10000018800,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK170117,17-01-17,16-07-17,18-01-17,10000018800,Specific Gravity,0.86579,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK170117,17-01-17,16-07-17,18-01-17,10000018800,Water content,0.0150,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK190117,19-01-17,18-07-17,20-01-17,10000018882,Color,2.3,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK190117,19-01-17,18-07-17,20-01-17,10000018882,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK190117,19-01-17,18-07-17,20-01-17,10000018882,Specific Gravity,0.86580,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK190117,19-01-17,18-07-17,20-01-17,10000018882,Water content,0.0121,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK230117,23-01-17,22-07-17,23-01-17,10000018962,Color,3.3,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK230117,23-01-17,22-07-17,23-01-17,10000018962,Refractive index,1.4958,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK230117,23-01-17,22-07-17,23-01-17,10000018962,Specific Gravity,0.86722,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK230117,23-01-17,22-07-17,23-01-17,10000018962,Water content,0.0132,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK250117,25-01-17,24-07-17,25-01-17,10000018997,Color,4.2,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK250117,25-01-17,24-07-17,25-01-17,10000018997,Refractive index,1.4958,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK250117,25-01-17,24-07-17,25-01-17,10000018997,Specific Gravity,0.86721,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK250117,25-01-17,24-07-17,25-01-17,10000018997,Water content,0.0120,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK260117,26-01-17,25-07-17,27-01-17,10000019217,Color,3.3,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK260117,26-01-17,25-07-17,27-01-17,10000019217,Refractive index,1.4958,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK260117,26-01-17,25-07-17,27-01-17,10000019217,Specific Gravity,0.86717,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK260117,26-01-17,25-07-17,27-01-17,10000019217,Water content,0.0150,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK300117,30-01-17,29-07-17,30-01-17,10000019237,Color,6.2,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK300117,30-01-17,29-07-17,30-01-17,10000019237,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK300117,30-01-17,29-07-17,30-01-17,10000019237,Specific Gravity,0.86599,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK300117,30-01-17,29-07-17,30-01-17,10000019237,Water content,0.0364,-999.00000,0.10000,Karl Fishcher
30002-TOL,Toluene,RB11,A,TANK130117,13-01-17,12-07-17,16-01-17,10000018626,Color,3,0.0,20.0,Spectrophotometer
