Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
30001-XY,Xylene,RB11,A,TANK031218,03-12-18,01-06-19,10-12-18,10000036343,Color,3.3,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK031218,03-12-18,01-06-19,10-12-18,10000036343,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK031218,03-12-18,01-06-19,10-12-18,10000036343,Specific Gravity,0.86585,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK031218,03-12-18,01-06-19,10-12-18,10000036343,Water content,0.0142,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK061218,06-12-18,04-06-19,10-12-18,10000036351,Color,3.5,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK061218,06-12-18,04-06-19,10-12-18,10000036351,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK061218,06-12-18,04-06-19,10-12-18,10000036351,Specific Gravity,0.86584,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK061218,06-12-18,04-06-19,10-12-18,10000036351,Water content,0.0149,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK111218,11-12-18,09-06-19,11-12-18,10000036424,Color,3.7,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK111218,11-12-18,09-06-19,11-12-18,10000036424,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK111218,11-12-18,09-06-19,11-12-18,10000036424,Specific Gravity,0.86582,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK111218,11-12-18,09-06-19,11-12-18,10000036424,Water content,0.0190,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK131218,13-12-18,11-06-19,13-12-18,10000036597,Color,3.2,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK131218,13-12-18,11-06-19,13-12-18,10000036597,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK131218,13-12-18,11-06-19,13-12-18,10000036597,Specific Gravity,0.86583,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK131218,13-12-18,11-06-19,13-12-18,10000036597,Water content,0.0141,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK171218,17-12-18,15-06-19,18-12-18,10000036690,Color,3.7,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK171218,17-12-18,15-06-19,18-12-18,10000036690,Refractive index,1.4958,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK171218,17-12-18,15-06-19,18-12-18,10000036690,Specific Gravity,0.86706,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK171218,17-12-18,15-06-19,18-12-18,10000036690,Water content,0.0194,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036779,Color,3.7,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036779,Refractive index,1.4958,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036779,Specific Gravity,0.86712,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036779,Water content,0.0171,-999.00000,0.10000,Karl Fishcher
30002-TOL,Toluene,RB11,A,TANK171018,17-10-18,15-04-19,19-12-18,10000036785,Color,3.0,0.0,20.0,Spectrophotometer
30002-TOL,Toluene,RB11,A,TANK171018,17-10-18,15-04-19,19-12-18,10000036785,Refractive index,1.4941,1.49300,1.49450,25oC
30002-TOL,Toluene,RB11,A,TANK171018,17-10-18,15-04-19,19-12-18,10000036785,Specific Gravity,0.86679,0.86400,0.86800,20oC
30002-TOL,Toluene,RB11,A,TANK171018,17-10-18,15-04-19,19-12-18,10000036785,Water content,0.0167,-999.00000,0.10000,Karl Fishcher
30003-MEOH,Methyl Alcohol (MeOH),RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036777,Color,1.5,0.0,3.0,Spectrophotometer
30003-MEOH,Methyl Alcohol (MeOH),RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036777,Refractive index,1.3264,1.32600,1.32700,25oC
30003-MEOH,Methyl Alcohol (MeOH),RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036777,Specific Gravity,0.79129,0.78900,0.79300,20oC
30003-MEOH,Methyl Alcohol (MeOH),RB11,A,TANK191218,19-12-18,17-06-19,19-12-18,10000036777,Water content,0.0327,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK061218,06-12-18,06-03-19,10-12-18,10000036349,Color,2.3,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK061218,06-12-18,06-03-19,10-12-18,10000036349,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK061218,06-12-18,06-03-19,10-12-18,10000036349,Specific Gravity,0.80944,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK061218,06-12-18,06-03-19,10-12-18,10000036349,Water content,0.0252,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK071218,07-12-18,07-03-19,10-12-18,10000036353,Color,2.3,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK071218,07-12-18,07-03-19,10-12-18,10000036353,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK071218,07-12-18,07-03-19,10-12-18,10000036353,Specific Gravity,0.80952,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK071218,07-12-18,07-03-19,10-12-18,10000036353,Water content,0.0424,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK111218,11-12-18,11-03-19,11-12-18,10000036406,Color,2.4,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK111218,11-12-18,11-03-19,11-12-18,10000036406,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK111218,11-12-18,11-03-19,11-12-18,10000036406,Specific Gravity,0.80953,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK111218,11-12-18,11-03-19,11-12-18,10000036406,Water content,0.0342,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK121218,12-12-18,12-03-19,12-12-18,10000036544,Color,2.5,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK121218,12-12-18,12-03-19,12-12-18,10000036544,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK121218,12-12-18,12-03-19,12-12-18,10000036544,Specific Gravity,0.80949,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK121218,12-12-18,12-03-19,12-12-18,10000036544,Water content,0.0330,-999.00000,0.10000,Karl Fishcher
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK131218,13-12-18,13-03-19,13-12-18,10000036603,Color,1.9,0.0,10.0,Spectrophotometer
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK131218,13-12-18,13-03-19,13-12-18,10000036603,Refractive index,1.3974,1.39550,1.39750,25oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK131218,13-12-18,13-03-19,13-12-18,10000036603,Specific Gravity,0.80949,0.80800,0.81200,20oC
30004-N-BUOH,n-Butyl Alcohol (n-BuOH),RB11,A,TANK131218,13-12-18,13-03-19,13-12-18,10000036603,Water content,0.0364,-999.00000,0.10000,Karl Fishcher
