Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013661,ENFB303T0-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ014,06-03-15,10:12:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB303T0-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,T-Y,JIS K5400,X,RB_SQ014,06-03-15,10:12:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB303T0-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,RB_SQ014,06-03-15,10:12:42 AM,RB_SQ014,28-04-15,11:09:54 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENFB303T0-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,10.0,8.0,,JIS K5407,X,RB_SQ014,06-03-15,10:12:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB303T0-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,67.0,63.0,,JIS K5407,X,RB_SQ014,06-03-15,10:12:42 AM,RB_SQ014,28-04-15,11:09:54 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENFB34100-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ014,06-03-15,10:12:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB34100-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,X-Z,JIS K5400,X,RB_SQ014,06-03-15,10:12:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB34100-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,RB_SQ014,06-03-15,10:14:10 AM,RB_SQ014,28-04-15,11:11:18 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENFB34100-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,14.0,10.0,,JIS K5407,X,RB_SQ014,06-03-15,10:14:10 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFB34100-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,66.5,63.5,,JIS K5407,X,RB_SQ014,06-03-15,10:14:10 AM,RB_SQ014,28-04-15,11:11:18 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
