Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15955651,10,,RB_TW070,ZF2,"67,800.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQM743B-DR000200,OLESTER QM743BT,,RB11,,600,KG,,Posted in FI,L,19.09.2018,M
RB15955651,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQM743B-DR000200,OLESTER QM743BT,,RB11,CD8001,0,KG,,Posted in FI,L,19.09.2018,M
RB15955651,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQM743B-DR000200,OLESTER QM743BT,,RB11,CJ8002,0,KG,,Posted in FI,L,19.09.2018,M
RB15955650,10,,RB_TW070,ZF2,"265,200.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CJ8020,"2,400.00",KG,,Posted in FI,L,19.09.2018,M
RB15955435,10,,RB_TW070,ZF2,"16,800.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR225000-DR000200,U-VAN 225,,RB11,,200,KG,,Posted in FI,L,13.09.2018,M
RB15955435,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR225000-DR000200,U-VAN 225,,RB11,CH8006,0,KG,,Posted in FI,L,13.09.2018,M
RB15955434,10,,RB_TW070,ZF2,"50,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,CC8003,400,KG,,Posted in FI,L,13.09.2018,M
RB15955434,20,,RB_TW070,ZF2,"47,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENF787000-DR000200,ALMATEX 787,,RB11,CF8003,600,KG,,Posted in FI,L,13.09.2018,M
RB15955414,10,,RB_TW070,ZF2,"129,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CJ8006,"1,600.00",KG,,Posted in FI,L,12.09.2018,M
RB15955414,20,,RB_TW070,ZF2,"265,200.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,,"2,400.00",KG,,Posted in FI,L,12.09.2018,M
RB15955414,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CJ8018,0,KG,,Posted in FI,L,12.09.2018,M
RB15955414,22,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CJ8019,0,KG,,Posted in FI,L,12.09.2018,M
RB15955380,10,,RB_TW070,ZF2,"120,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CJ8016,"1,600.00",KG,,Posted in FI,L,11.09.2018,M
