Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15954768,10,,RB_TW070,ZF2,"32,400.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CG8005,400,KG,,Posted in FI,L,28.08.2018,M
RB15954768,20,,RB_TW070,ZF2,"84,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CH8006,"1,000.00",KG,,Posted in FI,L,28.08.2018,M
RB15954768,30,,RB_TW070,ZF2,"80,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CH8036,"1,000.00",KG,,Posted in FI,L,28.08.2018,M
RB15954768,40,,RB_TW070,ZF2,"75,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CH8015,"1,000.00",KG,,Posted in FI,L,28.08.2018,M
RB15954768,50,,RB_TW070,ZF2,"184,800.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CH8006,"1,400.00",KG,,Posted in FI,L,28.08.2018,M
RB15954426,20,,RB_TW070,ZF2,"80,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CH8035,"1,000.00",KG,,Posted in FI,L,17.08.2018,M
RB15954426,30,,RB_TW070,ZF2,"150,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CH8014,"2,000.00",KG,,Posted in FI,L,17.08.2018,M
RB15954426,40,,RB_TW070,ZF2,"105,600.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CG8005,800,KG,,Posted in FI,L,17.08.2018,M
RB15954287,10,,RB_TW070,ZF2,"79,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CG8005,"1,000.00",KG,,Posted in FI,L,14.08.2018,M
RB15954287,20,,RB_TW070,ZF2,"156,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CG8034,"2,000.00",KG,,Posted in FI,L,14.08.2018,M
RB15954287,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CG8031,0,KG,,Posted in FI,L,14.08.2018,M
