Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15958082,10,,RB_TW070,Z1,"33,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR225000-DR000200,U-VAN 225,,RB11,CL8009,400,KG,,Posted in FI,L,03.12.2018,M
RB15958083,10,,RB_TW070,Z1,"264,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CL8009,"2,000.00",KG,,Posted in FI,L,03.12.2018,M
RB15958084,20,,RB_TW070,Z1,"80,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CL8052,"1,000.00",KG,,Posted in FI,L,03.12.2018,M
RB15958085,10,,RB_TW070,Z1,"201,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,,"1,600.00",KG,,Posted in FI,L,03.12.2018,M
RB15958085,11,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,CL8005,0,KG,,Posted in FI,L,03.12.2018,M
RB15958086,10,,RB_TW070,Z1,"120,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR925T70-DR000200,U-VAN 925T-70,,RB11,,"1,600.00",KG,,Posted in FI,L,03.12.2018,M
RB15958086,11,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CL8021,0,KG,,Posted in FI,L,03.12.2018,M
RB15958086,20,,RB_TW070,Z1,"265,200.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,,"2,400.00",KG,,Posted in FI,L,03.12.2018,M
RB15958086,21,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CL8027,0,KG,,Posted in FI,L,03.12.2018,M
RB15958086,22,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CL8028,0,KG,,Posted in FI,L,03.12.2018,M
RB15958086,30,,RB_TW070,Z1,"67,800.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQM743B-DR000200,OLESTER QM743BT,,RB11,,600,KG,,Posted in FI,L,03.12.2018,M
RB15958086,31,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQM743B-DR000200,OLESTER QM743BT,,RB11,CJ8002,0,KG,,Posted in FI,L,03.12.2018,M
RB15958225,10,,RB_TW070,ZF2,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,,"4,000.00",KG,,Posted in FI,L,06.12.2018,M
RB15958225,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CL8021,0,KG,,Posted in FI,L,06.12.2018,M
RB15958225,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CM8022,0,KG,,Posted in FI,L,06.12.2018,M
RB15958225,20,,RB_TW070,ZF2,"96,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CL8006,"1,000.00",KG,,Posted in FI,L,06.12.2018,M
RB15958226,10,,RB_TW070,ZF2,"288,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CL8011,"3,000.00",KG,,Posted in FI,L,06.12.2018,M
