Delivery,Item,Ship-to party,Material,Delivery quantity,Sales unit,Material Avail. Date,Reference document,Batch
8000114324,10,BG00013661,ENR48B000-DR000200,0.000,KG,03-01-18,1000137178,
8000114324,20,BG00013661,ENR925T70-DR000200,0.000,KG,03-01-18,1000137178,
8000114324,30,BG00013661,ENJQ17090-DR000200,0.000,KG,03-01-18,1000137178,
8000114324,40,BG00013661,ENFB303T0-DR000200,0.000,KG,03-01-18,1000137178,
8000114324,50,BG00013661,ENJQC418H-DR000200,0.000,KG,03-01-18,1000137178,
8000114324,900001,BG00013661,ENR48B000-DR000200,"2,000.000",KG,03-01-18,1000137178,CM7048
8000114324,900004,BG00013661,ENJQ17090-DR000200,"2,000.000",KG,03-01-18,1000137178,CL7005
8000114324,900005,BG00013661,ENFB303T0-DR000200,"1,000.000",KG,03-01-18,1000137178,CL7011
8000114324,900006,BG00013661,ENJQC418H-DR000200,"1,000.000",KG,03-01-18,1000137178,CM7025
8000114324,900007,BG00013661,ENR925T70-DR000200,"2,000.000",KG,03-01-18,1000137178,CM7027
8000114326,10,BG00013090,ENR225000-DR000200,0.000,KG,03-01-18,1000136932,
8000114326,20,BG00013090,ENFC20100-DR000200,0.000,KG,03-01-18,1000136932,
8000114326,30,BG00013090,ENF750T00-DR000200,0.000,KG,03-01-18,1000136932,
8000114326,900001,BG00013090,ENR225000-DR000200,200.000,KG,03-01-18,1000136932,CM7014
8000114326,900002,BG00013090,ENFC20100-DR000200,800.000,KG,03-01-18,1000136932,CM7009
8000114326,900003,BG00013090,ENF750T00-DR000200,400.000,KG,03-01-18,1000136932,CK7003
8000114326,900004,BG00013090,ENF750T00-DR000200,400.000,KG,03-01-18,1000136932,CM7004
8000114327,10,BG00013090,ENJQM743B-DR000200,0.000,KG,03-01-18,1000136931,
8000114327,900001,BG00013090,ENJQM743B-DR000200,200.000,KG,03-01-18,1000136931,CL7002
8000114331,10,BG00013306,ENR286000-DR000200,0.000,KG,03-01-18,1000136825,
8000114331,20,BG00013306,ENR925T70-DR000200,0.000,KG,03-01-18,1000136825,
8000114331,30,BG00013306,ENRMB20T0-DR000200,0.000,KG,03-01-18,1000136825,
8000114331,40,BG00013306,ENFB303T0-DR000200,0.000,KG,03-01-18,1000136825,
8000114331,900001,BG00013306,ENR286000-DR000200,"1,000.000",KG,03-01-18,1000136825,CM7049
8000114331,900004,BG00013306,ENRMB20T0-DR000200,"1,000.000",KG,03-01-18,1000136825,CL7010
8000114331,900005,BG00013306,ENFB303T0-DR000200,"1,000.000",KG,03-01-18,1000136825,CL7011
8000114331,900006,BG00013306,ENR925T70-DR000200,"2,000.000",KG,03-01-18,1000136825,CM7027
8000114746,10,BG00013661,ENR20SE65-DR000200,"1,000.000",KG,05-01-18,1000137179,CL7007
8000114746,20,BG00013661,ENR225000-DR000200,0.000,KG,05-01-18,1000137179,
8000114746,30,BG00013661,ENR286000-DR000200,400.000,KG,05-01-18,1000137179,CM7049
8000114746,40,BG00013661,ENR48B000-DR000200,"2,000.000",KG,05-01-18,1000137179,CM7048
8000114746,50,BG00013661,ENR925T70-DR000200,0.000,KG,05-01-18,1000137179,
8000114746,60,BG00013661,ENRMB20T0-DR000200,0.000,KG,05-01-18,1000137179,
8000114746,70,BG00013661,ENJQB5100-DR000200,0.000,KG,05-01-18,1000137179,
8000114746,900003,BG00013661,ENR225000-DR000200,200.000,KG,05-01-18,1000137179,CM7014
8000114746,900006,BG00013661,ENR925T70-DR000200,"2,000.000",KG,05-01-18,1000137179,CM7027
8000114746,900007,BG00013661,ENRMB20T0-DR000200,400.000,KG,05-01-18,1000137179,CL7010
8000114746,900008,BG00013661,ENRMB20T0-DR000200,"1,600.000",KG,05-01-18,1000137179,CM7011
8000114746,900009,BG00013661,ENJQB5100-DR000200,"2,000.000",KG,05-01-18,1000137179,CL7004
8000114884,10,BG00013090,ENFB303T0-DR000200,0.000,KG,08-01-18,1000138294,
8000114884,900001,BG00013090,ENFB303T0-DR000200,400.000,KG,08-01-18,1000138294,CL7011
8000114990,10,BG00013306,ENR20SE65-DR000200,0.000,KG,09-01-18,1000137261,
8000114990,20,BG00013306,ENR286000-DR000200,0.000,KG,09-01-18,1000137261,
8000114990,30,BG00013306,ENR925T70-DR000200,0.000,KG,09-01-18,1000137261,
8000114990,40,BG00013306,ENFB303T0-DR000200,0.000,KG,09-01-18,1000137261,
8000114990,900001,BG00013306,ENR20SE65-DR000200,"1,000.000",KG,09-01-18,1000137261,CL7007
8000114990,900002,BG00013306,ENR286000-DR000200,"1,000.000",KG,09-01-18,1000137261,CM7050
8000114990,900003,BG00013306,ENR925T70-DR000200,400.000,KG,09-01-18,1000137261,CM7027
8000114990,900004,BG00013306,ENR925T70-DR000200,600.000,KG,09-01-18,1000137261,CM7028
8000114990,900005,BG00013306,ENFB303T0-DR000200,"1,000.000",KG,09-01-18,1000137261,CL7011
8000115192,10,BG00013090,ENJQC4175-DR000200,0.000,KG,10-01-18,1000138565,
8000115192,900003,BG00013090,ENJQC4175-DR000200,400.000,KG,10-01-18,1000138565,CM7015
8000115195,10,BG00013090,ENR925T70-DR000200,0.000,KG,10-01-18,1000138531,
8000115195,20,BG00013090,ENFC20100-DR000200,0.000,KG,10-01-18,1000138531,
8000115195,30,BG00013090,ENFB303T0-DR000200,0.000,KG,10-01-18,1000138531,
8000115195,900001,BG00013090,ENR925T70-DR000200,"2,400.000",KG,10-01-18,1000138531,CM7028
8000115195,900002,BG00013090,ENFC20100-DR000200,800.000,KG,10-01-18,1000138531,CM7009
