Delivery,Item,Ship-to party,Material,Delivery quantity,Sales unit,Material Avail. Date,Reference document,Batch
8000147880,10,BG00013090,ENFC20100-DR000200,0.000,KG,03-01-19,1000175668,
8000147880,900001,BG00013090,ENFC20100-DR000200,"1,400.000",KG,03-01-19,1000175668,CL8005
8000147880,900002,BG00013090,ENFC20100-DR000200,200.000,KG,03-01-19,1000175668,CM8006
8000148202,10,BG00013306,ENR286000-DR000200,"2,000.000",KG,04-01-19,1000175827,CM8057
8000148202,20,BG00013306,ENR925T70-DR000200,"2,000.000",KG,04-01-19,1000175827,CM8023
8000148202,30,BG00013306,ENRMB20T0-DR000200,"2,000.000",KG,04-01-19,1000175827,CM8012
8000148202,40,BG00013306,ENJQ17090-DR000200,200.000,KG,04-01-19,1000175827,CL8005
8000148202,50,BG00013306,ENFB303T0-DR000200,"1,000.000",KG,04-01-19,1000175827,CM8010
8000148203,10,BG00013090,ENFC20700-DR000200,200.000,KG,04-01-19,1000175668,CB8002
8000148226,10,BG00013661,ENRMB20T0-DR000200,"1,000.000",KG,04-01-19,1000175864,CM8012
8000148226,20,BG00013661,ENRMB30T0-DR000200,"2,000.000",KG,04-01-19,1000175864,CM8007
8000148226,30,BG00013661,ENFC20100-DR000200,"1,000.000",KG,04-01-19,1000175864,CM8006
8000148382,10,BG00013661,ENR48B000-DR000200,0.000,KG,07-01-19,1000175865,
8000148382,20,BG00013661,ENFKH210T-DR000200,600.000,KG,07-01-19,1000175865,CJ8002
8000148382,30,BG00013661,ENFKH113T-DR000200,600.000,KG,07-01-19,1000175865,CL8003
8000148382,900006,BG00013661,ENR48B000-DR000200,"2,400.000",KG,07-01-19,1000175865,CM8051
8000148382,900007,BG00013661,ENR48B000-DR000200,"1,600.000",KG,07-01-19,1000175865,CM8052
8000148442,10,BG00013090,ENR286000-DR000200,200.000,KG,08-01-19,1000176902,CM8057
8000148442,20,BG00013090,ENFL20580-DR000200,400.000,KG,08-01-19,1000176902,CH8002
8000148456,10,BG00013090,ENR62E000-DR000200,400.000,KG,08-01-19,1000176827,CM8015
8000148456,20,BG00013090,ENFC20100-DR000200,800.000,KG,08-01-19,1000176827,CM8006
8000148456,30,BG00013090,ENFB34100-DR000200,"1,000.000",KG,08-01-19,1000176827,CE7002
8000148456,40,BG00013090,ENF750T00-DR000200,0.000,KG,08-01-19,1000176827,
