Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013090,ENF750T00-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:41 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENF750T00-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,U-Z,JIS K5400,X,MNT_9326,27-02-15,11:16:41 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENF750T00-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:41 AM,RB_SQ014,28-04-15,11:05:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENF750T00-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,17.0,13.0,,JIS K5407,X,MNT_9326,27-02-15,11:16:42 AM,RB_SQ014,28-04-15,11:05:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENF750T00-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,57.0,53.0,,JIS K5407,X,MNT_9326,27-02-15,11:16:42 AM,RB_SQ014,28-04-15,11:05:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENF787000-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENF787000-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,Y-Z2,JIS K5400,X,MNT_9326,27-02-15,11:16:42 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENF787000-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:42 AM,RB_SQ014,28-04-15,10:41:20 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENF787000-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,10.0,6.0,,JIS K5407,X,MNT_9326,27-02-15,11:16:43 AM,RB_SQ014,04-04-15,2:13:59 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENF787000-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,56.5,53.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:43 AM,RB_SQ014,28-04-15,10:41:20 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
