Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CD7001,07-04-17,07-04-18,08-04-17,40000033549,Acid Value,15.1,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CD7001,07-04-17,07-04-18,08-04-17,40000033549,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CD7001,07-04-17,07-04-18,08-04-17,40000033549,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CD7001,07-04-17,07-04-18,08-04-17,40000033549,Non Volatile Content,54.7,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CD7001,07-04-17,07-04-18,08-04-17,40000033549,Viscosity,A096,,,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE7002,01-05-17,01-05-18,03-05-17,40000034304,Acid Value,15.0,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE7002,01-05-17,01-05-18,03-05-17,40000034304,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE7002,01-05-17,01-05-18,03-05-17,40000034304,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE7002,01-05-17,01-05-18,03-05-17,40000034304,Non Volatile Content,55.7,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE7002,01-05-17,01-05-18,03-05-17,40000034304,Viscosity,A097,,,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CK7003,03-10-17,03-10-18,03-10-17,40000039550,Acid Value,14.9,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CK7003,03-10-17,03-10-18,03-10-17,40000039550,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CK7003,03-10-17,03-10-18,03-10-17,40000039550,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CK7003,03-10-17,03-10-18,03-10-17,40000039550,Non Volatile Content,53.8,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CK7003,03-10-17,03-10-18,03-10-17,40000039550,Viscosity,A085,,,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CM7004,05-12-17,05-12-18,06-12-17,40000041856,Acid Value,15.2,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CM7004,05-12-17,05-12-18,06-12-17,40000041856,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CM7004,05-12-17,05-12-18,06-12-17,40000041856,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CM7004,05-12-17,05-12-18,06-12-17,40000041856,Non Volatile Content,54.9,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CM7004,05-12-17,05-12-18,06-12-17,40000041856,Viscosity,A091,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CB7001,09-02-17,09-02-18,09-02-17,40000031225,Acid Value,7.5,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CB7001,09-02-17,09-02-18,09-02-17,40000031225,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CB7001,09-02-17,09-02-18,09-02-17,40000031225,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CB7001,09-02-17,09-02-18,09-02-17,40000031225,Non Volatile Content,55.5,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CB7001,09-02-17,09-02-18,09-02-17,40000031225,Viscosity,A111,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CD7002,01-04-17,01-04-18,04-04-17,40000033387,Acid Value,7.8,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD7002,01-04-17,01-04-18,04-04-17,40000033387,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CD7002,01-04-17,01-04-18,04-04-17,40000033387,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CD7002,01-04-17,01-04-18,04-04-17,40000033387,Non Volatile Content,55.3,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD7002,01-04-17,01-04-18,04-04-17,40000033387,Viscosity,A107,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CF7003,25-06-17,25-06-18,26-06-17,40000036319,Acid Value,7.9,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF7003,25-06-17,25-06-18,26-06-17,40000036319,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CF7003,25-06-17,25-06-18,26-06-17,40000036319,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CF7003,25-06-17,25-06-18,26-06-17,40000036319,Non Volatile Content,55.3,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF7003,25-06-17,25-06-18,26-06-17,40000036319,Viscosity,A106,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ7004,10-09-17,10-09-18,10-09-17,40000038811,Acid Value,7.9,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ7004,10-09-17,10-09-18,10-09-17,40000038811,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ7004,10-09-17,10-09-18,10-09-17,40000038811,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ7004,10-09-17,10-09-18,10-09-17,40000038811,Non Volatile Content,55.3,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CJ7004,10-09-17,10-09-18,10-09-17,40000038811,Viscosity,A105,,,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CM7005,08-12-17,08-12-18,09-12-17,40000041981,Acid Value,7.7,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CM7005,08-12-17,08-12-18,09-12-17,40000041981,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CM7005,08-12-17,08-12-18,09-12-17,40000041981,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CM7005,08-12-17,08-12-18,09-12-17,40000041981,Non Volatile Content,55.0,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CM7005,08-12-17,08-12-18,09-12-17,40000041981,Viscosity,A105,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA7001,29-01-17,29-01-18,29-01-17,40000030869,Acid Value,9.1,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA7001,29-01-17,29-01-18,29-01-17,40000030869,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA7001,29-01-17,29-01-18,29-01-17,40000030869,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA7001,29-01-17,29-01-18,29-01-17,40000030869,Non Volatile Content,65.1,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CA7001,29-01-17,29-01-18,29-01-17,40000030869,Viscosity,A097,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7002,01-03-17,01-03-18,03-03-17,40000031991,Acid Value,8.9,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7002,01-03-17,01-03-18,03-03-17,40000031991,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7002,01-03-17,01-03-18,03-03-17,40000031991,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7002,01-03-17,01-03-18,03-03-17,40000031991,Non Volatile Content,64.7,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7002,01-03-17,01-03-18,03-03-17,40000031991,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7003,21-03-17,21-03-18,22-03-17,40000032951,Acid Value,8.8,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7003,21-03-17,21-03-18,22-03-17,40000032951,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7003,21-03-17,21-03-18,22-03-17,40000032951,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CC7003,21-03-17,21-03-18,22-03-17,40000032951,Non Volatile Content,65.5,63.0,67.0,JIS K5407
