Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Acid Value,8.0,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Non Volatile Content,55.8,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CF8003,25-06-18,25-06-19,27-06-18,40000049968,Viscosity,A107,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Acid Value,9.0,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Non Volatile Content,64.6,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CF8004,04-06-18,04-06-19,05-06-18,40000048934,Viscosity,A085,,,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CF8004,01-06-18,01-06-19,02-06-18,40000048825,Acid Value,5.8,5.0,7.0,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CF8004,01-06-18,01-06-19,02-06-18,40000048825,Appearance,A012,,,Visual Check
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CF8004,01-06-18,01-06-19,02-06-18,40000048825,Color,1,-999,3,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CF8004,01-06-18,01-06-19,02-06-18,40000048825,Non Volatile Content,61.5,58.5,61.5,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CF8004,01-06-18,01-06-19,02-06-18,40000048825,Viscosity,A109,,,JIS K5400
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CF8004,02-06-18,02-06-19,03-06-18,40000048835,Acid Value,6.0,5.3,7.3,JIS K5407
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CF8004,02-06-18,02-06-19,03-06-18,40000048835,Appearance,A012,,,Visual Check
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CF8004,02-06-18,02-06-19,03-06-18,40000048835,Color,2,-999,3,JIS K5400
ENJQB5100-DR000200,OLESTER QB510,RB11,A,CF8004,02-06-18,02-06-19,03-06-18,40000048835,Non Volatile Content,65.9,63.5,66.5,JIS K5407
