Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Acid Value,12.2,12.0,14.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Appearance,A012,,,Visual Check
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Color,1,-999,3,JIS K5400
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Crater,1,0,4,TMSC(A4 x 2Panel)
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Non Volatile Content,57.0,56.0,58.0,JIS K5407
ENFKH210T-DR000200,ALMATEX KH210(T),RB11,A,CJ8002,04-09-18,04-09-19,06-09-18,40000052388,Viscosity,A073,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CJ8018,01-09-18,01-09-19,04-09-18,40000052294,Acid Value,5.8,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CJ8018,01-09-18,01-09-19,04-09-18,40000052294,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CJ8018,01-09-18,01-09-19,04-09-18,40000052294,Color,8,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CJ8018,01-09-18,01-09-19,04-09-18,40000052294,Non Volatile Content,60.3,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CJ8018,01-09-18,01-09-19,04-09-18,40000052294,Viscosity,A109,,,JIS K5400
ENJQM743B-DR000200,OLESTER QM743BT,RB11,A,CJ8002,05-09-18,05-09-19,06-09-18,40000052384,Acid Value,1.9,1.0,4.0,JIS K5407
ENJQM743B-DR000200,OLESTER QM743BT,RB11,A,CJ8002,05-09-18,05-09-19,06-09-18,40000052384,Appearance,A012,,,Visual Check
ENJQM743B-DR000200,OLESTER QM743BT,RB11,A,CJ8002,05-09-18,05-09-19,06-09-18,40000052384,Color,14,0,150,JIS K6901
ENJQM743B-DR000200,OLESTER QM743BT,RB11,A,CJ8002,05-09-18,05-09-19,06-09-18,40000052384,Non Volatile Content,49.2,48.0,52.0,JIS K5407
ENJQM743B-DR000200,OLESTER QM743BT,RB11,A,CJ8002,05-09-18,05-09-19,06-09-18,40000052384,Viscosity,A107,,,JIS K5400
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Acid Value,0.3,0.0,0.9,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Appearance,A012,,,Visual Check
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Color,10,10,29,JIS K6901
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Crater,1,0,3,TMSC(A4 x 2Panel)
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,MS,17.7,12.0,20.0,20oC
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Non Volatile Content,64.2,63.0,67.0,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CJ8006,04-09-18,03-03-19,05-09-18,40000052334,Viscosity,A075,,,JIS K5400
