Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,04-07-18,10000031526,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233289,Water content,0.1,-999,%,0.0126,Karl Fishcher
RB11,04-07-18,10000031526,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233289,Refractive index,1.404,1.403,,1.4037,25oC
RB11,04-07-18,10000031526,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233289,Color,15,0,Pt-Co,2.2,Spectrophotometer
RB11,04-07-18,10000031526,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,"11,100.000",KG,,14-05-19,Usage decision has been made,A,101,5000233289,Specific Gravity,0.924,0.92,,0.92179,20oC
RB11,04-07-18,10000031530,30034-N-BA,n-Butyl Acrylate (n-BA),18050289,10-01-19,Z01,0.000,KG,,10-04-19,Usage decision has been made,A,101,5000233292,Water content,0.1,-999,%,0.0292,Karl Fishcher
RB11,04-07-18,10000031530,30034-N-BA,n-Butyl Acrylate (n-BA),18050289,10-01-19,Z01,0.000,KG,,10-04-19,Usage decision has been made,A,101,5000233292,Refractive index,1.4168,1.4158,,1.4165,25oC
RB11,04-07-18,10000031530,30034-N-BA,n-Butyl Acrylate (n-BA),18050289,10-01-19,Z01,0.000,KG,,10-04-19,Usage decision has been made,A,101,5000233292,Color,15,0,Pt-Co,2.7,Spectrophotometer
RB11,04-07-18,10000031530,30034-N-BA,n-Butyl Acrylate (n-BA),18050289,10-01-19,Z01,"1,800.000",KG,,10-04-19,Usage decision has been made,A,101,5000233292,Specific Gravity,0.902,0.898,,0.89905,20oC
RB11,04-07-18,10000031535,30078-MCL,Magnesium Chloride Hexahydrate (MCL),060218,06-02-19,Z01,"2,000.000",KG,,06-02-20,Usage decision has been made,A,101,5000233293,%Transmittance,100,95,%,98,UV-VIS Spectrophotom
RB11,04-07-18,10000031541,30009-N-BACE,n-Butyl Acetate (n-Bace),18060193,12-12-18,Z01,0.000,KG,,10-06-19,Usage decision has been made,A,101,5000233295,Water content,0.07,-999,%,0.036,Karl Fishcher
RB11,04-07-18,10000031541,30009-N-BACE,n-Butyl Acetate (n-Bace),18060193,12-12-18,Z01,0.000,KG,,10-06-19,Usage decision has been made,A,101,5000233295,Refractive index,1.3923,1.3913,,1.3919,25oC
RB11,04-07-18,10000031541,30009-N-BACE,n-Butyl Acetate (n-Bace),18060193,12-12-18,Z01,0.000,KG,,10-06-19,Usage decision has been made,A,101,5000233295,Color,10,0,Pt-Co,1.5,Spectrophotometer
RB11,04-07-18,10000031541,30009-N-BACE,n-Butyl Acetate (n-Bace),18060193,12-12-18,Z01,"5,400.000",KG,,10-06-19,Usage decision has been made,A,101,5000233295,Specific Gravity,0.883,0.879,,0.88138,20oC
RB11,04-07-18,10000031545,30193-P-1021S,SYNTHTIC RUBBER LATEX (P-1021S),1070620,13-06-18,Z01,0.000,KG,,13-06-19,Usage decision has been made,A,101,5000233307,Viscosity,100,20,cP,36,"25oC,Viscometer"
RB11,04-07-18,10000031545,30193-P-1021S,SYNTHTIC RUBBER LATEX (P-1021S),1070620,13-06-18,Z01,0.000,KG,,13-06-19,Usage decision has been made,A,101,5000233307,Non Volatile content,49,46,%,47.1,1.5g./105oC/180min
RB11,04-07-18,10000031545,30193-P-1021S,SYNTHTIC RUBBER LATEX (P-1021S),1070620,13-06-18,Z01,"16,000.000",KG,,13-06-19,Usage decision has been made,A,101,5000233307,pH,5.8,4.8,,5.25,"25oC,pH Meter"
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Viscosity,2250,1550,mPa.s,1870,25oC
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Specific Gravity,1.052,1.032,,1.044,25oC
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Water Content,4.1,3.6,%,3.784,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,OH value,44.1,39.2,mg KOH,43.7,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Foam Height,208.3,140.3,mm,180,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Cream Time,14,6,s,11,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Rising Time,125,89,s,107,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,% Settling,13,3,%,7.4,
RB11,04-07-18,40000050237,UGPBK009A-BLK01000,BACK-009-A,CG8012,03-07-18,Z04,0.000,KG,1023688,30-12-18,Usage decision has been made,A,101,5000233187,Free Rise Density,37,27,kg/m3,29.7,
RB11,04-07-18,40000050239,UGPHL4560-DR000200,THAMOL HL-456,CG8011,03-07-18,Z04,0.000,KG,1023686,30-12-18,Usage decision has been made,A,101,5000233188,Viscosity,1420,860,cP,1140,25oC
RB11,04-07-18,40000050239,UGPHL4560-DR000200,THAMOL HL-456,CG8011,03-07-18,Z04,0.000,KG,1023686,30-12-18,Usage decision has been made,A,101,5000233188,Water Content,0.2,-999,%,0.0636,
RB11,04-07-18,40000050239,UGPHL4560-DR000200,THAMOL HL-456,CG8011,03-07-18,Z04,0.000,KG,1023686,30-12-18,Usage decision has been made,A,101,5000233188,OH value,223,183,mg KOH,203,
