Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013331,บริษัท เคมีเมท จำกัด,P190812,RB15966169,2019-08-10,MR. PRAMOTE R.,08/2019,2019-11-30,1.00000,THB,"56,175.00",THB,"56,175.00","56,175.00",0.00,0.00,0.00,0.00,1000198832,,
BG00013331,บริษัท เคมีเมท จำกัด,P190813,RB15966171,2019-08-10,MR. PRAMOTE R.,08/2019,2019-11-30,1.00000,THB,"23,689.80",THB,"23,689.80","23,689.80",0.00,0.00,0.00,0.00,1000198866,,
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,62-0275,RB15966174,2019-08-10,MR.PHASAKORN C.,08/2019,2019-11-30,1.00000,THB,"146,055.00",THB,"146,055.00","146,055.00",0.00,0.00,0.00,0.00,1000198886,,RB1
BG00012069,บริษัท เอ็มเค โพลีเอสเตอร์เรซิ,'-,RB15966175,2019-08-10,MS. SUTINA CHONLACHIT,08/2019,2019-11-08,1.00000,THB,"183,077.00",THB,"183,077.00","183,077.00",0.00,0.00,0.00,0.00,1000198861,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0713,RB15966176,2019-08-10,TAKDANAI Y.,08/2019,2019-10-09,1.00000,THB,"14,329.44",THB,"14,329.44","14,329.44",0.00,0.00,0.00,0.00,1000198870,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0712,RB15966177,2019-08-10,TAKDANAI Y.,08/2019,2019-10-09,1.00000,THB,"100,922.40",THB,"100,922.40","100,922.40",0.00,0.00,0.00,0.00,1000198869,,RB1
BG00013151,บริษัท วี.เอส.วี. เพนท์ แอนด์,620831,RB15966178,2019-08-10,MS. KULASAB,08/2019,2019-11-08,1.00000,THB,"76,269.60",THB,"76,269.60","76,269.60",0.00,0.00,0.00,0.00,1000198881,,RB1
BG00013191,บริษัท อารีย์อภิรักษ์ จำกัด,'-,RB15966179,2019-08-10,MR. PRAMOTE R.,08/2019,2019-10-09,1.00000,THB,"49,220.00",THB,"49,220.00","49,220.00",0.00,0.00,0.00,0.00,1000198880,,RB1
BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,GWK1908-00021,RB15966180,2019-08-13,MS. KULASAB,08/2019,2019-12-11,1.00000,THB,"1,189,198.00",THB,"1,189,198.00","1,189,198.00",0.00,0.00,0.00,0.00,1000198570,,RB1
BG00012905,บริษัท สีเดลต้า จำกัด,OR256208/00047,RB15966181,2019-08-13,Sathitpong Khongwanglam,08/2019,2019-11-11,1.00000,THB,"102,720.00",THB,"102,720.00","102,720.00",0.00,0.00,0.00,0.00,1000198661,,RB1
