Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,GWK1907-00113,RB15965765,2019-08-01,MS. KULASAB,08/2019,2019-11-29,1.00000,THB,"1,057,802.00",THB,"1,057,802.00","1,057,802.00",0.00,0.00,0.00,0.00,1000197264,,RB1
BG00013195,บริษัท โพเดียม โฮลดิ้ง กรุ๊ป จ,PO62070388,RB15965767,2019-08-01,MR. PRAMOTE R.,08/2019,2019-10-15,1.00000,THB,"107,823.90",THB,"107,823.90","107,823.90",0.00,0.00,0.00,0.00,1000197650,,RB1
BG00012915,บริษัท จีเค โปรเทคโน จำกัด,'-,RB15965768,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-09-30,1.00000,THB,"40,446.00",THB,"40,446.00","40,446.00",0.00,0.00,0.00,0.00,1000197525,,
BG00020042,บริษัท เคไอเจ มาร์เก็ตติ้ง จำก,POKIJ190855,RB15965769,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"60,455.00",THB,"60,455.00","60,455.00",0.00,0.00,0.00,0.00,1000197521,,
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6200883,RB15965770,2019-08-01,MR. PRAMOTE R.,08/2019,2019-11-29,1.00000,THB,"30,495.00",THB,"30,495.00","30,495.00",0.00,0.00,0.00,0.00,1000197505,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6200882,RB15965771,2019-08-01,MR. PRAMOTE R.,08/2019,2019-11-29,1.00000,THB,"48,551.25",THB,"48,551.25","48,551.25",0.00,0.00,0.00,0.00,1000197502,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6200881,RB15965772,2019-08-01,MR. PRAMOTE R.,08/2019,2019-11-29,1.00000,THB,"38,787.50",THB,"38,787.50","38,787.50",0.00,0.00,0.00,0.00,1000197500,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6200892,RB15965773,2019-08-01,MR. PRAMOTE R.,08/2019,2019-11-29,1.00000,THB,"64,735.00",THB,"64,735.00","64,735.00",0.00,0.00,0.00,0.00,1000197864,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM469-06,RB15965774,2019-08-01,MR. PRAMOTE R.,08/2019,2019-08-31,1.00000,THB,"49,220.00",THB,"49,220.00","49,220.00",0.00,0.00,0.00,0.00,1000197393,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6207-176,RB15965775,2019-08-01,Sathitpong Khongwanglam,08/2019,2019-10-30,1.00000,THB,"80,250.00",THB,"80,250.00","80,250.00",0.00,0.00,0.00,0.00,1000197372,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6207-174,RB15965776,2019-08-01,Sathitpong Khongwanglam,08/2019,2019-10-30,1.00000,THB,"58,208.00",THB,"58,208.00","58,208.00",0.00,0.00,0.00,0.00,1000197371,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6207-175,RB15965777,2019-08-01,Sathitpong Khongwanglam,08/2019,2019-10-30,1.00000,THB,"16,050.00",THB,"16,050.00","16,050.00",0.00,0.00,0.00,0.00,1000197370,,RB1
BG00013151,บริษัท วี.เอส.วี. เพนท์ แอนด์,620799,RB15965778,2019-08-01,MS. KULASAB,08/2019,2019-10-30,1.00000,THB,"160,072.00",THB,"160,072.00","160,072.00",0.00,0.00,0.00,0.00,1000197194,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19001462/OP,RB15965779,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"135,590.40",THB,"135,590.40","135,590.40",0.00,0.00,0.00,0.00,1000197055,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19001457/OP,RB15965780,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"14,980.00",THB,"14,980.00","14,980.00",0.00,0.00,0.00,0.00,1000197054,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19001453/OP,RB15965781,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"496,137.60",THB,"496,137.60","496,137.60",0.00,0.00,0.00,0.00,1000197053,,RB1
BG00013539,บริษัท เมืองทองมหาชัย จำกัด,PO6200031,RB15965784,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-09-30,1.00000,THB,"184,040.00",THB,"184,040.00","184,040.00",0.00,0.00,0.00,0.00,1000195495,,
BG00013270,บริษัท พีพีจี โคทติ้งส์ (ประเท,57220,RB15965785,2019-08-01,MR. SONGTHAM C. (IT),08/2019,2019-10-30,1.00000,THB,"105,716.00",THB,"105,716.00","105,716.00",0.00,0.00,0.00,0.00,1000192025,,RB1
BG00013270,บริษัท พีพีจี โคทติ้งส์ (ประเท,57078,RB15965786,2019-08-01,MR. SONGTHAM C. (IT),08/2019,2019-10-30,1.00000,THB,"90,950.00",THB,"90,950.00","90,950.00",0.00,0.00,0.00,0.00,1000191719,,RB1
BG00023118,ห้างหุ้นส่วนจำกัด อาเมอริส,07-128,RB15965787,2019-08-01,MR. SONGTHAM C.,08/2019,2019-11-30,1.00000,THB,"11,128.00",THB,"11,128.00","11,128.00",0.00,0.00,0.00,0.00,1000197733,,
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM470-06,RB15965788,2019-08-01,MR. PRAMOTE R.,08/2019,2019-08-31,1.00000,THB,"65,339.55",THB,"65,339.55","65,339.55",0.00,0.00,0.00,0.00,1000197686,,RB1
BG00014025,บริษัท อิโนแอ็ค ออโตโมทีฟ,A190800007,RB15965789,2019-08-01,MR. WICHANCHAI  S.,08/2019,2019-09-30,1.00000,THB,"257,553.28",THB,"257,553.28","257,553.28",0.00,0.00,0.00,0.00,1000197529,,RB1
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M198001/3,RB15965790,2019-08-01,MR.PHASAKORN C.,08/2019,2019-10-15,1.00000,THB,"326,979.16",THB,"326,979.16","326,979.16",0.00,0.00,0.00,0.00,1000197299,,RB1
BG00022241,บริษัท บางกอกซีท จำกัด,BS19-07-040,RB15965791,2019-08-01,MR. WICHANCHAI  S.,08/2019,2019-10-30,1.00000,THB,"397,332.94",THB,"397,332.94","397,332.94",0.00,0.00,0.00,0.00,1000197272,,
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,19L19155,RB15965792,2019-08-01,MR. KEAITTICHAI  A.,08/2019,2019-09-30,1.00000,THB,"143,949.24",THB,"143,949.24","143,949.24",0.00,0.00,0.00,0.00,1000197800,,RB1
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,62-0258,RB15965793,2019-08-01,MR.PHASAKORN C.,08/2019,2019-11-30,1.00000,THB,"588,500.00",THB,"588,500.00","588,500.00",0.00,0.00,0.00,0.00,1000197809,,RB1
BG00013429,บริษัท ลิกซิล (ประเทศไทย) จำกั,5300120393,RB15965794,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-09-30,1.00000,THB,"74,151.00",THB,"74,151.00","74,151.00",0.00,0.00,0.00,0.00,1000197662,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19001494/OP,RB15965795,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"393,674.40",THB,"393,674.40","393,674.40",0.00,0.00,0.00,0.00,1000197533,,RB1
BG00020042,บริษัท เคไอเจ มาร์เก็ตติ้ง จำก,POKIJ190868,RB15965796,2019-08-01,MS. SUTINA CHONLACHIT,08/2019,2019-10-30,1.00000,THB,"5,007.60",THB,"5,007.60","5,007.60",0.00,0.00,0.00,0.00,1000197887,,
