Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00012871,บริษัท อาควาบาธ จำกัด,PO:256209/0210,RB15967528,2019-09-24,MS. SUTINA CHONLACHIT,09/2019,2019-12-23,1.00000,THB,190674.00 ,THB,190674.00 ,190674.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203050,,RB1
BG00013429,บริษัท ลิกซิล (ประเทศไทย) จำกั,5300124680,RB15967530,2019-09-24,MS. SUTINA CHONLACHIT,09/2019,2019-11-23,1.00000,THB,74151.00 ,THB,74151.00 ,74151.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203303,,RB1
BG00013252,บริษัท เอเซียอิ้งค์ จำกัด,PO20190920005,RB15967531,2019-09-24,MR. KASIN M.,09/2019,2019-10-24,1.00000,THB,169060.00 ,THB,169060.00 ,169060.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203294,,RB1
BG00013080,บริษัท โรงงานกระดาษเทนมา (ประเ,-,RB15967532,2019-09-24,MR. PRAMOTE R.,09/2019,2019-12-23,1.00000,THB,593850.00 ,THB,593850.00 ,593850.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203193,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6209-165,RB15967533,2019-09-24,Sathitpong Khongwanglam,09/2019,2019-12-23,1.00000,THB,43656.00 ,THB,43656.00 ,43656.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203329,,RB1
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM1908002,RB15967535,2019-09-24,MR. PRAMOTE R.,09/2019,2019-12-23,1.00000,THB,359520.00 ,THB,359520.00 ,359520.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000200778,,RB1
BG00023481,บริษัท คิง ลามิเนท จำกัด,ไท-013-0962-02,RB15967536,2019-09-24,TAKDANAI Y.,09/2019,2019-10-24,1.00000,THB,284277.60 ,THB,284277.60 ,284277.60 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203346,,
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6201115,RB15967537,2019-09-24,MR. PRAMOTE R.,09/2019,2020-01-22,1.00000,THB,38787.50 ,THB,38787.50 ,38787.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203356,,RB1
BG00013134,บริษัท เดอะพริ้น จำกัด,-,RB15967538,2019-09-24,MS. SUTINA CHONLACHIT,09/2019,2019-09-24,1.00000,THB,13182.40 ,THB,13182.40 ,0.00 ,13182.40 ,0.00 ,0.00 ,0.00 ,1000203371,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0891,RB15967539,2019-09-24,TAKDANAI Y.,09/2019,2019-11-23,1.00000,THB,100922.40 ,THB,100922.40 ,100922.40 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203376,,RB1
