Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,RWK1901-00080,RB15968159,2019-10-11,MS. KULASAB,10/2019,2020-02-08,1.00000,THB,102720.00,THB,102720.00,102720.00,0.00,0.00,0.00,0.00,1000205225,,RB1
BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,GWK1910-00034,RB15968160,2019-10-11,MS. KULASAB,10/2019,2020-02-08,1.00000,THB,205440.00,THB,205440.00,205440.00,0.00,0.00,0.00,0.00,1000205259,,RB1
BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,GWK1901-00036,RB15968161,2019-10-11,MS. KULASAB,10/2019,2020-02-08,1.00000,THB,218387.00,THB,218387.00,218387.00,0.00,0.00,0.00,0.00,1000205309,,RB1
BG00013270,บริษัท พีพีจี โคทติ้งส์ (ประเท,59061,RB15968164,2019-10-11,MR. SONGTHAM C. (IT),10/2019,2020-01-09,1.00000,THB,35524.00,THB,35524.00,35524.00,0.00,0.00,0.00,0.00,1000204947,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400134348(AM)TPC6,RB15968165,2019-10-11,MS. SUTINA CHONLACHIT,10/2019,2020-01-09,1.00000,THB,135676.00,THB,135676.00,135676.00,0.00,0.00,0.00,0.00,1000204357,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400134347(AM)TPC2,RB15968166,2019-10-11,MS. SUTINA CHONLACHIT,10/2019,2020-01-09,1.00000,THB,155150.00,THB,155150.00,155150.00,0.00,0.00,0.00,0.00,1000204355,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400134283(IN)TPC2,RB15968167,2019-10-11,MS. SUTINA CHONLACHIT,10/2019,2020-01-09,1.00000,THB,102720.00,THB,102720.00,102720.00,0.00,0.00,0.00,0.00,1000204315,,RB1
BG00012877,บริษัท บางกอกเจริญมิตร (1972),407/2019,RB15968168,2019-10-11,MR. PRAMOTE R.,10/2019,2019-11-10,1.00000,THB,5778.00,THB,5778.00,5778.00,0.00,0.00,0.00,0.00,1000205045,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000009529,RB15968169,2019-10-11,Sathitpong Khongwanglam,10/2019,2020-02-08,1.00000,THB,28034.00,THB,28034.00,28034.00,0.00,0.00,0.00,0.00,1000204931,,RB1
BG00013106,บริษัท สหไทยอาวากระดาษ จำกัด,DM-19100057,RB15968170,2019-10-11,MR. PRAMOTE R.,10/2019,2020-01-09,1.00000,THB,347750.00,THB,347750.00,347750.00,0.00,0.00,0.00,0.00,1000203979,,RB1
