Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,RWK2001-00110,RB15971415,2020-01-28,MR. SONGTHAM C.,01/2020,2020-05-27,1.00000,THB,243960.00,THB,243960.00,243960.00,0.00,0.00,0.00,0.00,1000216671,,RB1
BG00013195,บริษัท โพเดียม โฮลดิ้ง กรุ๊ป จ,PO63010340,RB15971419,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-12,1.00000,THB,9630.00,THB,9630.00,9630.00,0.00,0.00,0.00,0.00,1000216566,,RB1
BG00013070,บริษัท สหไทยอุตสาหกรรมแผ่นกั้น,DM-PM2001009,RB15971420,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-27,1.00000,THB,77425.20,THB,77425.20,77425.20,0.00,0.00,0.00,0.00,1000215307,,RB1
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM1912003,RB15971421,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-27,1.00000,THB,323568.00,THB,323568.00,323568.00,0.00,0.00,0.00,0.00,1000212746,,RB1
BG00013834,บริษัท สิทธินนท์ เทรดดิ้ง (199,PO-63010755,RB15971422,2020-01-28,MR. PRAMOTE R.,01/2020,2020-03-28,1.00000,THB,8560.00,THB,8560.00,8560.00,0.00,0.00,0.00,0.00,1000216650,,RB1
BG00024895,บริษัท เอสเอ็ม โพลีเมอร์ จำกัด,005/62,RB15971423,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-27,1.00000,THB,30495.00,THB,30495.00,30495.00,0.00,0.00,0.00,0.00,1000216655,,
BG00023574,บริษัท ไทยเอ็คมี่โพลีพลาสแพค จ,6301-039,RB15971424,2020-01-28,TAKDANAI Y.,01/2020,2020-02-27,1.00000,THB,95529.60,THB,95529.60,95529.60,0.00,0.00,0.00,0.00,1000216656,,
BG00013490,บริษัท ที ทารุทานิ แพค จำกัด,PO63010084,RB15971425,2020-01-28,MR. PRAMOTE R.,01/2020,2020-03-28,1.00000,THB,384686.40,THB,384686.40,384686.40,0.00,0.00,0.00,0.00,1000216657,,
BG00013176,บริษัท ยิ่งเจริญสีอุตสาหกรรม จ,-,RB15971427,2020-01-28,MR.JARUWAT SINGTO,01/2020,2020-04-27,1.00000,THB,23112.00,THB,23112.00,23112.00,0.00,0.00,0.00,0.00,1000216679,,RB1
BG00013195,บริษัท โพเดียม โฮลดิ้ง กรุ๊ป จ,PO63010376,RB15971428,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-12,1.00000,THB,89318.25,THB,89318.25,89318.25,0.00,0.00,0.00,0.00,1000216688,,RB1
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,20L00962,RB15971429,2020-01-28,MR. KEAITTICHAI  A.,01/2020,2020-02-29,1.00000,THB,89383.52,THB,89383.52,89383.52,0.00,0.00,0.00,0.00,1000216652,,RB1
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,20G05499,RB15971430,2020-01-28,MR. WICHANCHAI  S.,01/2020,2020-03-28,1.00000,THB,96508.65,THB,96508.65,96508.65,0.00,0.00,0.00,0.00,1000216646,,RB1
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M201001/3,RB15971431,2020-01-28,MR.PHASAKORN C.,01/2020,2020-04-12,1.00000,THB,132273.40,THB,132273.40,132273.40,0.00,0.00,0.00,0.00,1000213476,,RB1
BG00013331,บริษัท เคมีเมท จำกัด,P200122,RB15971432,2020-01-28,MR. PRAMOTE R.,01/2020,2020-04-30,1.00000,THB,7490.00,THB,7490.00,7490.00,0.00,0.00,0.00,0.00,1000216418,,
BG00013834,บริษัท สิทธินนท์ เทรดดิ้ง (199,PO-63010753,RB15971433,2020-01-28,MR. WICHANCHAI  S.,01/2020,2020-03-28,1.00000,THB,96300.00,THB,96300.00,96300.00,0.00,0.00,0.00,0.00,1000216644,,RB1
BG00013834,บริษัท สิทธินนท์ เทรดดิ้ง (199,PO-63010754,RB15971434,2020-01-28,MR. WICHANCHAI  S.,01/2020,2020-03-28,1.00000,THB,266644.00,THB,266644.00,266644.00,0.00,0.00,0.00,0.00,1000216643,,RB1
BG00013992,บริษัท โยโกฮามา รับเบอร์,PO20200100177,RB15971435,2020-01-28,MR. KEAITTICHAI  A.,01/2020,2020-02-27,1.00000,THB,64677.49,THB,64677.49,64677.49,0.00,0.00,0.00,0.00,1000216386,,RB1
BG00014016,บริษัท เอ็นเอชเค สปริง,80G03129,RB15971436,2020-01-28,MR. WICHANCHAI  S.,01/2020,2020-03-28,1.00000,THB,317860.62,THB,317860.62,317860.62,0.00,0.00,0.00,0.00,1000216645,,RB1
BG00014036,บริษัท ซี แอนด์ ที โมดูลาร์ จำ,PO6301236,RB15971437,2020-01-28,MR.PHASAKORN C.,01/2020,2020-03-28,1.00000,THB,12307.14,THB,12307.14,12307.14,0.00,0.00,0.00,0.00,1000216669,,RB1
BG00014036,บริษัท ซี แอนด์ ที โมดูลาร์ จำ,PO6301236,RB15971438,2020-01-28,MR.PHASAKORN C.,01/2020,2020-03-28,1.00000,THB,364549.00,THB,364549.00,364549.00,0.00,0.00,0.00,0.00,1000216668,,RB1
BG00013487,บริษัท เอ็กซตร้า เทค จำกัด,PO6211057,RB15971439,2020-01-28,MR.JARUWAT SINGTO,01/2020,2020-03-28,1.00000,THB,164780.00,THB,164780.00,164780.00,0.00,0.00,0.00,0.00,1000216675,,
BG00012070,บริษัท นากาเซ่(ประเทศไทย) จำกั,460497084,RB15971440,2020-01-28,MR. WICHANCHAI  S.,01/2020,2020-04-27,1.00000,THB,268495.10,THB,268495.10,268495.10,0.00,0.00,0.00,0.00,1000216666,,RB1
BG00013284,บริษัท ฮั่วฮงเส็ง จำกัด,-,RB15971441,2020-01-28,MR.JARUWAT SINGTO,01/2020,2020-03-28,1.00000,THB,94160.00,THB,94160.00,94160.00,0.00,0.00,0.00,0.00,1000216681,,RB1
